"id_usuario","nombre_platillo","presentacion_platillo","tamaño_platillo","precio_platillo","categoria","cantidad","fecha_venta"
"Sw4KWBZ0V3bUWSxLAGu6rwOxOPO2","Camarones mariposa","Unica","ninguno","219.00","Camarones","3","2024-06-05 09:13:32"
"mdy15mzNcedWyISNGn8jGaPSELZ2","Camarones mariposa","Unica","ninguno","219.00","Camarones","3","2024-07-25 09:13:32"
"esbjKHM1PbYx355iX21SzMd3DQE2","Camarones mariposa","Unica","ninguno","219.00","Camarones","7","2024-05-19 09:13:32"
"oexNbbwZZEfwr1lj9aU1WeG7JwT2","Camarones mariposa","Unica","ninguno","219.00","Camarones","1","2023-11-22 09:13:32"
"Sw4KWBZ0V3bUWSxLAGu6rwOxOPO2","Camarones mariposa","Unica","ninguno","219.00","Camarones","1","2024-03-26 09:13:32"
"mdy15mzNcedWyISNGn8jGaPSELZ2","Camarones mariposa","Unica","ninguno","219.00","Camarones","10","2023-11-29 09:13:33"
"pW8R5fMO0yQq6xtPcGwdJzhQPOn2","Camarones mariposa","Unica","ninguno","219.00","Camarones","8","2023-12-14 09:13:33"
"XVs3kZQEZxQkpJ8FJqWlV47RaIE3","Camarones mariposa","Unica","ninguno","219.00","Camarones","2","2024-07-14 09:13:33"
"Sw4KWBZ0V3bUWSxLAGu6rwOxOPO2","Camarones mariposa","Unica","ninguno","219.00","Camarones","1","2024-03-13 09:13:33"
"ZcQ2J0IPWLYmXIZ2b4YZAhGqDth2","Camarones mariposa","Unica","ninguno","219.00","Camarones","3","2023-11-05 09:13:33"
"Sw4KWBZ0V3bUWSxLAGu6rwOxOPO2","Camarones mariposa","Unica","ninguno","219.00","Camarones","6","2024-01-11 09:13:33"
"Sw4KWBZ0V3bUWSxLAGu6rwOxOPO2","Camarones mariposa","Unica","ninguno","219.00","Camarones","9","2024-01-31 09:13:33"
"Sw4KWBZ0V3bUWSxLAGu6rwOxOPO2","Camarones mariposa","Unica","ninguno","219.00","Camarones","8","2023-09-29 09:13:33"
"esbjKHM1PbYx355iX21SzMd3DQE2","Camarones mariposa","Unica","ninguno","219.00","Camarones","3","2023-11-10 09:13:33"
"ZcQ2J0IPWLYmXIZ2b4YZAhGqDth2","Camarones mariposa","Unica","ninguno","219.00","Camarones","3","2024-05-29 09:13:33"
"esbjKHM1PbYx355iX21SzMd3DQE2","Camarones mariposa","Unica","ninguno","219.00","Camarones","9","2023-09-27 09:13:33"
"pW8R5fMO0yQq6xtPcGwdJzhQPOn2","Camarones mariposa","Unica","ninguno","219.00","Camarones","9","2024-06-07 09:13:33"
"mdy15mzNcedWyISNGn8jGaPSELZ2","Camarones mariposa","Unica","ninguno","219.00","Camarones","4","2023-08-13 09:13:33"
"oexNbbwZZEfwr1lj9aU1WeG7JwT2","Camarones mariposa","Unica","ninguno","219.00","Camarones","8","2023-10-15 09:13:33"
"yhyg4yML4wPahF8XN5CQCTBErbl1","Camarones mariposa","Unica","ninguno","219.00","Camarones","4","2023-10-01 09:13:33"
"mZvDqt0BFLRaGAQsgJpq9v0oqIW2","Camarones mariposa","Unica","ninguno","219.00","Camarones","8","2024-06-07 09:13:33"
"Sw4KWBZ0V3bUWSxLAGu6rwOxOPO2","Camarones mariposa","Unica","ninguno","219.00","Camarones","10","2024-06-05 09:13:33"
"yVnqVT1tphNdVeX1KtAXZiiD54n1","Camarones mariposa","Unica","ninguno","219.00","Camarones","7","2024-04-24 09:13:33"
"ZcQ2J0IPWLYmXIZ2b4YZAhGqDth2","Camarones mariposa","Unica","ninguno","219.00","Camarones","1","2023-08-04 09:13:33"
"esbjKHM1PbYx355iX21SzMd3DQE2","Camarones mariposa","Unica","ninguno","219.00","Camarones","10","2024-02-27 09:13:33"
"mdy15mzNcedWyISNGn8jGaPSELZ2","Camarones mariposa","Unica","ninguno","219.00","Camarones","4","2024-03-16 09:13:33"
"pW8R5fMO0yQq6xtPcGwdJzhQPOn2","Camarones mariposa","Unica","ninguno","219.00","Camarones","7","2023-12-23 09:13:33"
"mZvDqt0BFLRaGAQsgJpq9v0oqIW2","Camarones mariposa","Unica","ninguno","219.00","Camarones","10","2024-07-11 09:13:33"
